Population	sample
Pop1	1551W1_S395
Pop1	1553W1_S314
Pop1	1554W1_S341
Pop1	1555W1_S397
Pop1	1556W1_S337
Pop1	1557Q_S432
Pop1	1557W1_S275
Pop1	1558W1_S354
Pop1	1559W1_S357
Pop1	1560W1_S300
Pop1	1562W1_S242
Pop1	1563W1_S281
Pop2	1622W1_S254
Pop2	1623W1_S276
Pop2	1624W1_S392
Pop2	1625Q_S431
Pop2	1625W1_S384
Pop2	1626W1_S364
Pop2	1627W1_S385
Pop2	1628W1_S365
Pop2	1629W1_S379
Pop3	1681W1_S374
Pop3	1682W1_S380
Pop3	1683Q_S435
Pop3	1683W1_S344
Pop3	1684W1_S376
Pop3	1686W1_S402
Pop3	1688W1_S349
Pop3	1689W1_S381
Pop3	1691W1_S403
Pop3	1692Q_S433
Pop3	1692W1_S329
Pop3	1693W1_S373
Pop3	1694W1_S377
Pop3	1695Q_S434
Pop3	1695W1_S396
